

FT	 ID	 AT	 WT	 ST	

2	 12	 1	 1	 0
3	 10	 1	 1	 1
3	 7	 1	 1	 1
4	 13	 2	 1	 1
4	 3	 1	 1	 2
5	 9	 1	 2	 2
5	 8	 1	 1	 3
5	 4	 1	 1	 3
6	 6	 1	 3	 2
7	 15	 3	 1	 3
7	 11	 1	 2	 4
7	 1	 0	 3	 4
8	 18	 6	 1	 1
8	 5	 1	 2	 5
10	 30	 8	 1	 1
10	 17	 4	 1	 5
10	 14	 2	 2	 6
11	 31	 9	 1	 1
11	 29	 8	 1	 2
11	 28	 8	 1	 2
11	 21	 7	 1	 3
11	 19	 6	 1	 4
12	 37	 10	 1	 1
12	 27	 8	 2	 2
12	 33	 9	 1	 2
12	 23	 7	 1	 4
12	 22	 7	 1	 4
12	 16	 3	 1	 8
13	 40	 12	 1	 0
13	 24	 8	 1	 4
13	 26	 8	 1	 4
14	 46	 13	 1	 0
14	 41	 12	 1	 1
14	 36	 9	 1	 4
14	 20	 6	 1	 7
15	 45	 13	 1	 1
15	 39	 11	 1	 3
16	 32	 9	 3	 4
16	 35	 9	 2	 5
17	 53	 16	 1	 0
17	 49	 15	 1	 1
17	 47	 14	 1	 2
17	 43	 13	 1	 3
18	 38	 10	 6	 2
19	 52	 16	 1	 2
19	 48	 14	 2	 3
20	 54	 18	 1	 1
21	 50	 15	 2	 4
21	 51	 16	 1	 4
22	 57	 19	 1	 2
22	 44	 13	 7	 2
22	 34	 9	 4	 9
23	 68	 21	 1	 1
23	 66	 21	 1	 1
23	 62	 21	 1	 1
23	 55	 18	 1	 4
24	 78	 23	 1	 0
24	 69	 21	 2	 1
25	 67	 21	 1	 3
25	 65	 21	 1	 3
25	 58	 20	 1	 4
25	 60	 20	 1	 4
26	 72	 23	 2	 1
26	 73	 23	 1	 2
26	 77	 23	 1	 2
26	 63	 21	 2	 3
27	 81	 25	 1	 1
27	 74	 23	 1	 3
27	 71	 22	 2	 3
27	 70	 22	 1	 4
28	 83	 25	 2	 1
28	 82	 25	 1	 2
28	 76	 23	 2	 3
28	 75	 23	 1	 4
28	 61	 20	 1	 7
30	 91	 29	 1	 0
31	 106	 30	 1	 0
31	 89	 28	 1	 2
31	 86	 27	 1	 3
32	 105	 30	 1	 1
32	 99	 30	 1	 1
32	 92	 29	 1	 2
32	 79	 24	 1	 7
33	 94	 30	 1	 2
33	 104	 30	 1	 2
33	 88	 28	 1	 4
34	 110	 33	 1	 0
34	 102	 30	 3	 1
34	 97	 30	 3	 1
34	 93	 29	 1	 4
